iter	Passed	Remaining
400	23179	34624
401	23263	34605
402	23335	34568
403	23401	34522
404	23473	34486
405	23535	34434
406	23594	34377
407	23658	34328
408	23717	34271
409	23777	34215
410	23832	34154
411	23894	34102
412	23953	34045
413	24020	34000
414	24094	33964
415	24166	33925
416	24223	33866
417	24279	33805
418	24336	33745
419	24392	33684
420	24458	33638
421	24520	33584
422	24576	33524
423	24634	33466
424	24687	33400
425	24742	33338
426	24797	33276
427	24908	33289
428	24978	33246
429	25042	33196
430	25116	33158
431	25198	33131
432	25284	33109
433	25382	33102
434	25452	33059
435	25518	33010
436	25582	32958
437	25646	32906
438	25712	32858
439	25775	32805
440	25835	32747
441	25903	32701
442	25968	32651
443	26033	32601
444	26099	32550
445	26181	32521
446	26250	32476
447	26328	32440
448	26392	32387
449	26460	32340
450	26517	32279
451	26587	32234
452	26655	32187
453	26753	32174
454	26916	32240
455	27010	32223
456	27070	32165
457	27130	32106
458	27194	32053
459	27255	31995
460	27319	31941
461	27380	31884
462	27433	31818
463	27485	31750
464	27540	31686
465	27594	31620
466	27655	31564
467	27712	31502
468	27767	31438
469	27827	31380
470	27896	31331
471	27958	31275
472	28017	31216
473	28076	31156
474	28134	31095
475	28188	31031
476	28245	30969
477	28309	30915
478	28399	30889
479	28455	30826
480	28513	30766
481	28575	30709
482	28636	30651
483	28690	30587
484	28748	30526
485	28810	30470
486	28871	30412
487	28932	30355
488	28987	30291
489	29049	30235
490	29108	30175
491	29166	30115
492	29225	30055
493	29286	29997
494	29352	29945
495	29409	29883
496	29464	29820
497	29527	29764
498	29581	29699
499	29641	29641
500	29693	29575
501	29761	29523
502	29909	29552
503	29964	29488
504	30026	29432
505	30080	29367
506	30135	29303
507	30189	29238
508	30246	29176
509	30305	29116
510	30361	29054
511	30417	28992
512	30473	28928
513	30531	28867
514	30585	28804
515	30639	28739
516	30692	28673
517	30750	28613
518	30806	28551
519	30864	28490
520	30933	28439
521	30989	28377
522	31045	28314
523	31101	28252
524	31159	28191
525	31218	28132
526	31289	28082
527	31405	28074
528	31465	28015
529	31517	27949
530	31573	27886
531	31631	27826
532	31688	27765
533	31742	27700
534	31798	27638
535	31854	27575
536	31921	27522
537	31976	27459
538	32041	27404
539	32107	27350
540	32172	27295
541	32230	27235
542	32289	27175
543	32360	27125
544	32414	27061
545	32468	26997
546	32526	26936
547	32581	26874
548	32639	26813
549	32696	26751
550	32756	26693
551	32818	26635
552	32878	26576
553	32949	26525
554	33006	26464
555	33066	26405
556	33123	26344
557	33178	26281
558	33238	26222
559	33300	26164
560	33363	26107
561	33423	26048
562	33480	25987
563	33542	25929
564	33601	25870
565	33657	25808
566	33717	25749
567	33779	25691
568	33841	25633
569	33907	25579
570	33975	25525
571	34038	25469
572	34094	25407
573	34153	25347
574	34215	25289
575	34277	25231
576	34343	25177
577	34405	25119
578	34465	25060
