iter	RMSE
262	1.297719023
263	1.296708233
264	1.29606387
265	1.295333764
266	1.294736638
267	1.293801365
268	1.293230285
269	1.292665983
270	1.291978085
271	1.291324039
272	1.290477896
273	1.290020095
274	1.289308455
275	1.28867621
276	1.288037195
277	1.287068902
278	1.286492244
279	1.285846278
280	1.285258751
281	1.284522349
282	1.283755155
283	1.283162645
284	1.282487077
285	1.281898333
286	1.281304714
287	1.280729529
288	1.280065899
289	1.279377453
290	1.278699843
291	1.277795816
292	1.277270154
293	1.276615399
294	1.2760139
295	1.275468713
296	1.275001419
297	1.274452761
298	1.273400438
299	1.272670171
300	1.271943398
301	1.271119349
302	1.270481438
303	1.269911378
304	1.269247213
305	1.26860598
306	1.268090147
307	1.267470357
308	1.26688434
309	1.266195134
310	1.265640337
311	1.264963182
312	1.264342309
313	1.263471768
314	1.262611047
315	1.261877881
316	1.261180806
317	1.260474701
318	1.259643888
319	1.259065055
320	1.258477037
321	1.257829404
322	1.257343386
323	1.25661174
324	1.256204708
325	1.255739132
326	1.255051669
327	1.254630593
328	1.254197081
329	1.253563853
330	1.253067637
331	1.252444644
332	1.25190767
333	1.251255486
334	1.250655546
335	1.250139087
336	1.249627585
337	1.248892877
338	1.248429509
339	1.24780105
340	1.247178937
341	1.246290405
342	1.245659143
343	1.245143436
344	1.244466285
345	1.243922542
346	1.243462211
347	1.243142968
348	1.242732545
349	1.242220745
350	1.24155727
351	1.240876522
352	1.240112659
353	1.239344173
354	1.23872081
355	1.238247711
356	1.237860306
357	1.237134375
358	1.236507245
359	1.235970854
360	1.235295737
361	1.234825713
362	1.234032647
363	1.233517941
364	1.232945343
365	1.232410774
366	1.23192658
367	1.231258834
368	1.230592632
369	1.230178887
370	1.229708467
371	1.229300716
372	1.22891995
373	1.228267228
374	1.227738151
375	1.227242532
376	1.226942094
377	1.226410172
378	1.225811149
379	1.225140873
380	1.224661391
381	1.224304054
382	1.223812453
383	1.223422081
384	1.222911798
385	1.222333659
386	1.221711983
387	1.221193023
388	1.220807722
389	1.220173222
390	1.219763461
391	1.21925799
392	1.218601901
393	1.218259387
394	1.217848942
395	1.217163729
396	1.216747689
397	1.216378719
398	1.215956665
399	1.215417389
400	1.214938747
401	1.214547133
402	1.214140655
403	1.21365256
404	1.213194132
405	1.212588519
406	1.2120096
407	1.211530284
408	1.210899658
409	1.210330117
410	1.209831839
411	1.209377235
412	1.208720022
413	1.208115982
414	1.20766009
415	1.207114814
416	1.206714731
417	1.206254218
418	1.20587698
419	1.205438293
420	1.204863809
421	1.204189788
422	1.203691688
423	1.203328865
424	1.202814601
425	1.202365712
426	1.20198303
427	1.201612555
428	1.201174617
429	1.200762435
430	1.199993475
431	1.199545587
432	1.199153668
433	1.198746992
434	1.198311909
435	1.197936562
436	1.197498424
437	1.197110605
438	1.19665229
439	1.196303422
440	1.195988224
441	1.195585252
442	1.195251159
443	1.194907351
444	1.194452222
445	1.194097592
446	1.193541077
447	1.193073218
448	1.192769628
449	1.192363826
450	1.191986578
451	1.191259035
452	1.190677315
453	1.190306862
454	1.190010703
455	1.189562218
456	1.189049455
457	1.188664705
458	1.188393244
459	1.188025262
460	1.187761863
461	1.187280328
462	1.186733725
463	1.186121349
464	1.18563334
465	1.185305814
466	1.184800978
467	1.184138974
468	1.183708852
469	1.183312267
470	1.182979436
471	1.182486749
472	1.182042553
473	1.181515507
474	1.181106451
475	1.1808607
476	1.180280873
477	1.17971026
478	1.179369002
479	1.178919705
480	1.178500398
481	1.178108365
482	1.177760533
483	1.177409667
484	1.177011525
485	1.176703269
486	1.176207247
487	1.175921319
488	1.175434299
489	1.175081184
490	1.174758037
491	1.174200624
492	1.173807036
493	1.173391312
494	1.173086835
495	1.172741834
496	1.172239052
497	1.171914231
498	1.171548657
499	1.171091917
500	1.17081573
501	1.170433101
502	1.169972978
503	1.16974873
504	1.169138982
505	1.168814711
506	1.168533288
507	1.168206156
508	1.167805657
509	1.167471964
510	1.166906428
511	1.166603367
512	1.166332222
513	1.166083516
514	1.165693594
515	1.165225904
516	1.164958146
517	1.164577595
518	1.164010016
519	1.163703936
520	1.163231488
521	1.162925521
522	1.162616569
523	1.162088636
524	1.161711535
525	1.161363222
526	1.161012155
527	1.160739292
528	1.160342978
529	1.160007019
530	1.159616953
531	1.15916986
532	1.158825319
533	1.158391014
534	1.158053728
535	1.157670366
536	1.15727569
537	1.156809111
538	1.156486173
539	1.156151673
540	1.155686279
541	1.155214074
542	1.154912333
543	1.15453076
544	1.154334473
545	1.15394306
546	1.153673982
547	1.153261327
548	1.152906668
549	1.152625376
550	1.152177584
551	1.151867835
552	1.151538408
553	1.151155678
554	1.150884725
555	1.15054084
556	1.150260371
557	1.149773781
558	1.149193922
559	1.148864202
560	1.148614523
561	1.148240744
562	1.14787581
563	1.147387242
564	1.147053709
565	1.146768162
566	1.146468095
567	1.146166965
568	1.145908525
569	1.145646311
570	1.14522285
571	1.144793156
572	1.144501247
573	1.144179768
574	1.143822748
575	1.143500847
576	1.142935199
577	1.142577911
578	1.142311633
579	1.141922784
580	1.14162385
581	1.141383716
582	1.141063415
583	1.140753361
584	1.140431945
585	1.140053221
586	1.139759118
587	1.139371351
588	1.139126074
589	1.138622833
590	1.138189519
591	1.137730393
592	1.137306432
593	1.1370565
594	1.136736713
595	1.136445786
596	1.136052464
597	1.135682855
598	1.135406847
599	1.135087982
600	1.134787041
601	1.13449606
602	1.134188965
603	1.133885945
604	1.133585636
605	1.133281659
606	1.132894252
607	1.132576442
608	1.132211651
609	1.131863913
610	1.131698347
611	1.131342695
612	1.130993606
613	1.130789755
614	1.130480787
615	1.130152373
616	1.129851749
617	1.129584374
618	1.1292637
619	1.128988697
620	1.128752456
621	1.128249238
622	1.127807006
623	1.127415224
624	1.126900954
625	1.126691436
626	1.126415368
627	1.126094977
628	1.125768146
629	1.125377418
630	1.125097605
631	1.124735346
632	1.124429179
633	1.124001457
634	1.123689796
635	1.123320143
636	1.123097892
637	1.122820521
638	1.12249419
639	1.122052838
640	1.121730145
641	1.121455716
642	1.121145177
643	1.1208623
644	1.120513223
645	1.120280877
646	1.119965825
647	1.1196398
648	1.119173998
649	1.118861263
650	1.118557767
651	1.118350672
652	1.118120783
653	1.117764176
654	1.117470433
655	1.117117871
656	1.116821576
657	1.116633711
658	1.116418575
659	1.116077279
660	1.115719409
661	1.115414243
662	1.115073581
663	1.114787476
664	1.114532331
665	1.114312795
666	1.113995485
667	1.113697243
668	1.113353519
669	1.112978963
670	1.112696858
671	1.112321894
672	1.111962518
673	1.111659073
674	1.11127214
675	1.111000844
676	1.11068882
677	1.110354739
678	1.11003663
679	1.109764627
680	1.109555221
681	1.109122769
682	1.108815106
683	1.108572961
684	1.108336335
685	1.108165379
686	1.107956058
687	1.107772401
688	1.107423001
689	1.107120082
690	1.106802526
691	1.106496988
692	1.106165728
693	1.105800593
694	1.105388324
695	1.10516005
696	1.104846329
697	1.104518662
698	1.104060262
699	1.103779461
700	1.103553245
701	1.103214214
702	1.102955527
703	1.102599528
704	1.10227204
705	1.101943806
706	1.101567939
707	1.101307789
708	1.101103188
709	1.100913247
710	1.100675887
711	1.100415883
712	1.100292637
713	1.100016296
714	1.099824383
715	1.099629082
716	1.099237418
717	1.099061085
718	1.098827626
719	1.098582145
720	1.098310772
721	1.098107456
722	1.097846379
723	1.097620543
724	1.097409246
725	1.097160794
726	1.097004211
727	1.096777016
728	1.096511905
729	1.096233003
730	1.095797609
731	1.095464889
732	1.0952402
733	1.095022831
734	1.09483757
735	1.094559828
736	1.094315714
737	1.094008111
738	1.093851655
739	1.093588206
740	1.093291875
741	1.093092763
742	1.092876659
743	1.092596731
744	1.092329982
745	1.09204493
746	1.091703216
747	1.091292111
748	1.090938456
749	1.09062943
750	1.090382734
751	1.090123032
752	1.089935695
753	1.089684806
754	1.089230944
755	1.089014951
756	1.088811321
757	1.088562728
758	1.088170027
759	1.087879039
760	1.087550977
761	1.087285226
762	1.087021933
763	1.08679657
764	1.086602416
765	1.086287303
766	1.086087971
767	1.085866103
768	1.08564014
769	1.085433551
770	1.085070725
771	1.084857823
772	1.084471003
773	1.084186327
774	1.083991994
775	1.083649577
776	1.08341324
777	1.083291064
778	1.083072174
779	1.082817008
780	1.082602811
781	1.08234669
782	1.082124941
783	1.081819578
784	1.081482233
785	1.081306655
786	1.081078044
787	1.080664007
788	1.080294753
789	1.080087589
790	1.079748694
791	1.079529396
792	1.0793664
793	1.079159478
794	1.078877011
795	1.07874664
796	1.078508181
797	1.078116693
798	1.077805949
799	1.077402023
800	1.077252653
801	1.076931437
802	1.076684554
803	1.076510686
804	1.076274626
805	1.075997906
806	1.075749221
807	1.075482075
808	1.075163697
809	1.074939114
810	1.074626262
811	1.074374439
812	1.074208735
813	1.073918207
814	1.073580822
815	1.073380602
816	1.073075524
817	1.072825683
818	1.072564755
819	1.072302524
820	1.072112226
821	1.071770312
822	1.071532987
823	1.071282315
824	1.070978201
825	1.070671051
826	1.07048677
827	1.070332788
828	1.070102216
829	1.069802648
830	1.069615143
831	1.069299661
832	1.069050786
833	1.068749685
834	1.068613927
835	1.068295032
836	1.068067596
837	1.067732855
838	1.0673628
839	1.067141498
840	1.066884382
841	1.066479465
842	1.066383835
843	1.066102397
844	1.065896244
845	1.065621835
846	1.065365767
847	1.065034097
848	1.064893738
849	1.064690089
850	1.064560348
851	1.064323741
852	1.064069301
853	1.063899757
854	1.063668403
855	1.063352584
856	1.063105023
857	1.062874249
858	1.062472223
859	1.06219042
860	1.06196685
861	1.061590301
862	1.061420733
863	1.061224629
864	1.060936456
865	1.060694796
866	1.060370452
867	1.060100078
868	1.059804351
869	1.059588652
870	1.059434635
871	1.059147252
872	1.058863199
873	1.058563641
874	1.058327986
875	1.058166251
876	1.057962127
877	1.057525523
878	1.057193168
879	1.057041995
880	1.056911636
881	1.056710596
882	1.056587916
883	1.056333596
884	1.056121794
885	1.055857783
886	1.055654408
887	1.055338297
888	1.055177126
889	1.054932587
890	1.054736861
891	1.054533199
892	1.054389303
893	1.054115894
894	1.053951754
895	1.053751745
896	1.053539447
897	1.053314032
898	1.053065959
899	1.052820542
900	1.052645975
901	1.052558264
902	1.052406882
903	1.052116364
904	1.051915236
905	1.051543918
906	1.051194462
907	1.051001884
908	1.05080729
909	1.050634379
910	1.05046445
911	1.050096493
912	1.049944766
913	1.049709525
914	1.04955861
915	1.049304438
916	1.049084653
917	1.048768543
918	1.04853967
919	1.048283754
920	1.048166218
921	1.048018657
922	1.04774892
923	1.047519401
924	1.047238629
925	1.04703189
926	1.04679043
927	1.046483375
928	1.046182503
929	1.045972397
930	1.045690167
931	1.045325902
932	1.045124634
933	1.044775634
934	1.044623836
935	1.044446798
936	1.044135022
937	1.043851951
938	1.043727088
939	1.04356104
940	1.043287554
941	1.04302845
942	1.042845872
943	1.042627018
944	1.042415299
945	1.042264329
946	1.042106909
947	1.041826044
948	1.041600274
949	1.041367735
950	1.041185582
951	1.041048749
952	1.040883583
953	1.040754992
954	1.040614508
955	1.040432248
956	1.040255537
957	1.039928061
958	1.039762404
959	1.039542532
960	1.039310707
961	1.039106952
962	1.038895167
963	1.038643845
964	1.038381522
965	1.038204038
966	1.03804488
967	1.037783233
968	1.037542914
969	1.037359196
970	1.037147718
971	1.036969262
972	1.036709352
973	1.036581675
974	1.036232871
975	1.036019416
976	1.035911916
977	1.035740892
978	1.03560148
979	1.035386873
980	1.035189265
981	1.035034381
982	1.034737826
983	1.034591428
984	1.034417091
985	1.034228104
986	1.034016057
987	1.033767487
988	1.033498659
989	1.033339021
990	1.033163666
991	1.032919309
992	1.03273952
993	1.032470768
994	1.032214178
995	1.032030758
996	1.031894957
997	1.031746003
998	1.031570927
999	1.031372959
