,beds,sqft
57088,Baths,
57099,5 Beds,
57111,4 bd,
57137,2 bd,
57214,1 acre,
57361,3 Beds,
57372,64 Beds,
57394,3 bd,
57429,Bath,
57508,0.7 acres,
57587,0,
57606,"7,405 sqft",
57644,2 Beds,
57656,2.34 acres,
57719,5 Beds,
57739,2 Beds,
57766,6 Beds,
57826,4 Beds,
57857,6.03 acres,
57913,2 Beds,
57966,4 bd,
58000,Baths,
58016,5 bd,
58032,Baths,
58042,1 bd,
58088,0.29 acres,
58164,6 Beds,
58167,2 Beds,
58198,3 Beds,
58233,-- bd,
58305,3 Beds,
58354,"6,359 sqft",
58356,"7,840 sqft",
58358,2 bd,
58363,0,
58465,3 Beds,
58551,"5,584 sqft",
58634,4 Beds,
58707,2,
58767,Baths,
58775,1.54 acres,
58819,Baths,
58830,4,
58870,Baths,
58917,0,
58919,0,
58922,2 bd,
58951,"8,141 sqft",
58997,4 bd,
59026,5 bd,
59069,2 Beds,
59071,0.27 acres,
59086,Baths,
59098,"5,850 sqft",
59134,Bath,
59162,3 bd,
59255,"6,098 sqft",
59300,-- sqft,
59327,2.15 acres,
59508,6 Beds,
59665,Baths,
59713,5,
59716,Baths,
59727,"2,613 sqft",
59742,12 Beds,
59750,1.06 acres,
59762,Baths,
59799,6 Beds,
59842,-- sqft,
59848,3 bd,
59864,"5,248 sqft",
59879,Baths,
59923,Baths,
59956,3 Beds,
59976,0,
59978,0.28 acres,
60008,3 bd,
60037,"6,098 sqft",
60038,3 Beds,
60056,Bath,
60108,"4,974 sqft",
60111,Baths,
60128,Bath,
60154,Baths,
60172,3 bd,
60262,3,
60345,3 bd,
60368,Baths,
60385,4 bd,
60416,3,
60499,5 Beds,
60549,5 Beds,
60589,3 bd,
60618,0.26 acres,
60626,3 Beds,
60630,0.38 acres,
60635,Baths,
60730,2 Beds,
60738,0.27 acres,
60787,1 bd,
60847,"8,973 sqft",
60923,"5,501 sqft",
60926,"4,199 sqft",
60955,4 Beds,
60978,"6,825 sqft",
61009,Baths,
61018,Baths,
61052, ,
61109,Baths,
61166,2 bd,
61273,2 Beds,
61278,3,
61312,"6,751 sqft",
61464,Baths,
61546,Baths,
61554,Baths,
61568,Bath,
61681,2 Beds,
61700,"3,611 sqft",
61761,Baths,
61882,3 Beds,
61951,3 Beds,
61974,6 Beds,
61992,5 bd,
62007,4 Beds,
62012,"7,039 sqft",
62095,3 bd,
62140,1.18 acres,
62146,Baths,
62148,10.47 acres,
62168,4 bd,
62201,2 Beds,
62220,4 bd,
62268,2 bd,
62272,3 Beds,
62346,1.03 acres,
62392,0.29 acres,
62504,2 Beds,
62527,0.7 acres,
62544,"4,748 sqft",
62581,"5,662 sqft",
62588,3,
62653,-- bd,
62662,6 Beds,
62668,2 Beds,
62670,Baths,
62679,Baths,
62682,"6,011 sqft",
62698,Baths,
62858,10 Beds,
62888,Baths,
62897,-- bd,
62955,4 bd,
62992,"9,448 sqft",
63063,1 acre,
63086,3 bd,
63122,2 Beds,
63136,3 Beds,
63151,0.31 acres,
63167,"2,874 sqft",
63176,2 Beds,
63234,Baths,
63258,0.34 acres,
63321,Bath,
63333,0,
63381,Baths,
63389,Bath,
63390,4,
63405,2 bd,
63428,4 bd,
63443,0.26 acres,
63490,3 bd,
63509,5 Beds,
63557,3 Beds,
63597,"5,122 sqft",
63604,Baths,
63638,Baths,
63674,"5,000 sqft",
63693,3 Beds,
63703,Bath,
63706,Baths,
63728,"7,409 sqft",
63748,Baths,
63750,0,
63753,0,
63796,3 Beds,
63813,Baths,
63964,8 Beds,
63969,3 bd,
64077,1 bd,
64123,2 acres,
64134,0.53 acres,
64166,1.24 acres,
64193,3,
64240,2 Beds,
64278,3 bd,
64297,0.28 acres,
64394,1,
64417,-- bd,
64579,4.43 acres,
64589,Baths,
64594,3 bd,
64606,"3,841 sqft",
64612,2 Beds,
64699,"5,998 sqft",
64723,0.36 acres,
64768,1.38 acres,
64771,3.53 acres,
64876,3 bd,
64885,-- sqft,
64939,2 Beds,
64998,1.03 acres,
65026,64 Beds,
65041,3 bd,
65071,Baths,
65152,Baths,
65157,Baths,
65287,2 Beds,
65308,-- bd,
65352,2 bd,
65515,Baths,
65548,3 bd,
65550,2 Beds,
65567,"5,248 sqft",
65581,Baths,
65651,Bath,
65711,2,
65732,0.35 acres,
65786,0.26 acres,
65841,3 Beds,
65932,"8,132 sqft",
65971,0.34 acres,
66023,4 bd,
66106,64 Beds,
66120,1.33 acres,
66126,2 Beds,
66187,3 bd,
66316,Baths,
66337,Baths,
66428,3 bd,
66431,4 Beds,
66454,2 Beds,
66474,Baths,
66555,64 Beds,
66587,2.02 acres,
66610,0.34 acres,
66805,Bath,
66841,0.51 acres,
66912,4 Beds,
66922,3 bd,
66951,"7,405 sqft",
66956,3 Beds,
67117,7 Beds,
67200,3 bd,
67238,Baths,
67252,Baths,
67277,7 Beds,
67310,2.5 acres,
67316,0.31 acres,
67318,2 Beds,
67321,3 bd,
67326,5 bd,
67343,3 bd,
67463,Baths,
67545,6 bd,
67553,0.34 acres,
67607,"5,998 sqft",
67682,0.64 acres,
67708,4 bd,
67714,6 Beds,
67733,2.12 acres,
67747,8 bd,
67767,64 Beds,
67848,4 Beds,
67853,3 Beds,
67892,"5,227 sqft",
67937,5,
67947,0.82 acres,
68014,2 Beds,
68088,4 Beds,
68123,4 Beds,
68147,0.73 acres,
68151,"8,637 sqft",
68210,2 bd,
68215,"7,405 sqft",
68234,Baths,
68260,0.5 acres,
68280,Baths,
68339,0.55 acres,
68381,2 Beds,
68408,2,
68456,3 bd,
68474,2 bd,
68525,0.47 acres,
68540,0.5 acres,
68679,4 bd,
68711,0.46 acres,
68840,Bath,
69005,"9,169 sqft",
69118,Baths,
69146,"8,150 sqft",
69196,3 bd,
69202,2 Beds,
69292,Baths,
69313,7 Beds,
69612,Bath,
69807,5 acres,
69817,4 Beds,
69875,"7,405 sqft",
69913,5 Beds,
70032,2,
70034,0.29 acres,
70111,3 Beds,
70150,4 Beds,
70159,3 bd,
70220,Baths,
70248,3,
70255,"5,976 sqft",
70280,3 bd,
70333,2 acres,
70397,4 bd,
70490,"8,015 sqft",
70563,Baths,
70643,3 Beds,
70645,4.59 acres,
70686,3 Beds,
70718,Baths,
70730,0,
70765,3 bd,
70776,Baths,
70804,3 bd,
70839,"7,840 sqft",
70871,"9,391 sqft",
70894,0.53 acres,
70899,3,
70924,Baths,
70987,4 Beds,
70992,Baths,
71123,4 Beds,
71131,Bath,
71149,0.5 acres,
71298,Bath,
71473,2 Beds,
71481,"7,100 sqft",
71507,2 Beds,
71587,4 bd,
71637,0.31 acres,
71715,Baths,
71796,2.07 acres,
71878,5,
71952,5 Beds,
72006,0.89 acres,
72016,Baths,
72029,-- bd,
72030,"5,697 sqft",
72125,2 Beds,
72156,Baths,
72192,"4,556 sqft",
72217,2,
72251,3,
72252,"8,712 sqft",
72292,0,
72294,-- sqft,
72388,Baths,
72440,10 Beds,
72506,3 Beds,
72524,3 bd,
72525,Baths,
72529,Baths,
72640,"8,999 sqft",
72648, ,
72661,6 Beds,
72664,-- bd,
72710,3 Beds,
72737,3 bd,
72742,Bath,
72787,5 Beds,
72827,Baths,
72898,10 acres,
72918,Baths,
72977,0,
72981,2 bd,
73010,2 Beds,
73023,Baths,
73046,0.78 acres,
73087,"8,389 sqft",
73178,4 bd,
73182,"3,920 sqft",
73224,Baths,
73305,Bath,
73362,5 Beds,
73385,5 Beds,
73449,Baths,
73458,3,
73468,4 Beds,
73498,3 Beds,
73524,"6,969 sqft",
73531,4 Beds,
73540,"10,497 sqft",
73544,Baths,
73563,0.99 acres,
73582,4 bd,
73606,Bath,
73619,Bath,
73621,Baths,
73627,3 Beds,
73635,2 bd,
73729,3 Beds,
73755,Baths,
73786,"7,840 sqft",
73799,3 bd,
73827,0.43 acres,
73840,3 bd,
73888,Baths,
73939,4 Beds,
73954,"7,348 sqft",
73973,"5,000 sqft",
74039,0.28 acres,
74092,Baths,
74120,4,
74132,3 bd,
74144,0.51 acres,
74234,Baths,
74241,Baths,
74246,2 Beds,
74310,"7,993 sqft",
74333,0.73 acres,
74339,4 bd,
74343,3.2 acres,
74429,3 bd,
74458, ,
74459,"10,018 sqft",
74464,"7,492 sqft",
74516,0.88 acres,
74556,"3,750 sqft",
74646,"5,501 sqft",
74647,Baths,
74662,2,
74695,3 Beds,
74697,Baths,
74708,-- bd,
74817,0.78 acres,
74851,12 Beds,
74865,Baths,
74869,4.17 acres,
74946,1 bd,
74955,2 bd,
74974,3 Beds,
75039,3 bd,
75110, ,
75140,"7,318 sqft",
75157,3 bd,
75235,-- bd,
75246,0.62 acres,
75332,0.34 acres,
75384,2 Beds,
75440,-- bd,
75474,2 Beds,
75556,5 Beds,
75582,1.05 acres,
75673,"10,846 sqft",
75684,4,
75704,"10,001 sqft",
75706,"6,756 sqft",
75737,2 Beds,
75757,"4,996 sqft",
75808,"5,924 sqft",
75819,2 Beds,
75841,Bath,
75848,2 Beds,
75958,-- bd,
75959,7 bd,
75966,Baths,
75987,"3,149 sqft",
76013,Baths,
76019,"4,356 sqft",
76065,1.14 acres,
76107,Baths,
76178,3 bd,
76179,38 acres,
76199,Baths,
76237,3 Beds,
76248,0.57 acres,
76307,0.53 acres,
76506,"7,100 sqft",
76516,0.36 acres,
76519,0.59 acres,
76590,0.52 acres,
76615,4 Beds,
76645,2 bd,
76787,5.09 acres,
76827,2.05 acres,
76860,1.24 acres,
76871,3 Beds,
76919,Baths,
76925,2 Beds,
76943, ,
76980,"8,938 sqft",
76983,3 Beds,
77007,3 bd,
77034,3 bd,
77087,Baths,
77242,4 Beds,
77266,"7,200 sqft",
77287,2 bd,
77307,"6,621 sqft",
77383,9 Beds,
77439,3,
77477,"7,000 sqft",
77493,Baths,
77499,-- bd,
77598,Bath,
77641,3 bd,
77703,2 Beds,
77816,"5,575 sqft",
77869,"10,018 sqft",
77873,2 bd,
77874,4 Beds,
77901,1.2 acres,
77942,1 bd,
77965,2 bd,
77971, ,
77987,-- bd,
78071,"5,009 sqft",
78148,1.07 acres,
78151,5 Beds,
78156,Baths,
78172,Baths,
78247,3.2 acres,
78250,4 bd,
78298,2 Beds,
78314,8 Beds,
78331,8 Beds,
78338,3 Beds,
78387,2 bd,
78401,3 bd,
78416,2 bd,
78445,2 Beds,
78492,Baths,
78510,0,
78519,Baths,
78532,"9,465 sqft",
78586,Bath,
78587,5 Beds,
78629,Baths,
78642,6 Beds,
78731,6 bd,
78736,Baths,
78758, ,
78789,1.1 acres,
78830,0,
78864,0.94 acres,
78865,-- bd,
78900,6 Beds,
78930,Baths,
79001,Bath,
79010,4 Beds,
79058,Baths,
79091,6 Beds,
79092,0.25 acres,
79129,0.58 acres,
79150,2 bd,
79184,4 bd,
79203,12 Beds,
79240,4 Beds,
79276,4.52 acres,
79368,Bath,
79385,Baths,
79447,Baths,
79513,3 bd,
79523,2 Beds,
79550,1.55 acres,
79561,Baths,
79718,"9,526 sqft",
79784,2 bd,
79795,3 Beds,
79843,Baths,
79873,Baths,
79892,2 Beds,
79923,1.81 acres,
79947,3 Beds,
79948,"9,408 sqft",
80020,0.34 acres,
80060,"5,000 sqft",
80079,-- sqft,
80082,Baths,
80103,Baths,
80181,Bath,
80189,3 bd,
80203,Baths,
80227,3 Beds,
80229,Baths,
80332,3 Beds,
80472,2 Beds,
80499,Bath,
80574,"8,559 sqft",
80617,5.78 acres,
80669,"9,517 sqft",
80682, ,
80702,"5,000 sqft",
80786,2 bd,
80884,3 bd,
80924,"3,855 sqft",
80959,2 Beds,
80964,2,
80972,4 bd,
81005,1.16 acres,
81070,Bath,
81075,4 bd,
81144,Baths,
81185,4 Beds,
81232,2 Beds,
81280,Baths,
81284,2 bd,
81287,3 bd,
81300,4 bd,
81359,"8,180 sqft",
81370,2.62 acres,
81371,3 bd,
81396,2 Beds,
81457,0.69 acres,
81533,Baths,
81538,3 bd,
81591,Baths,
81617,1.12 acres,
81657,4 Beds,
81664,0.31 acres,
81836,Baths,
81894,"4,451 sqft",
81908,10 acres,
81936,3 Beds,
81942,0.27 acres,
81960,3,
82000,6 Beds,
82063,Baths,
82079,2 Beds,
82093,Baths,
82094,Bath,
82108,"6,381 sqft",
82166,3 Beds,
82168,1.53 acres,
82213,3 Beds,
82214,"4,500 sqft",
82216,0.74 acres,
82261,4 Beds,
82276,64 Beds,
82295,Baths,
82301,1.11 acres,
82359,0.66 acres,
82380,Baths,
82468,2 Beds,
82487,Bath,
82573,4 bd,
82577,"5,323 sqft",
82579,Baths,
82581,3 bd,
82601,2 bd,
82609,5 Beds,
82619,0.34 acres,
82749,7 Beds,
82767,Baths,
82780,16 bd,
82948,"7,975 sqft",
83029,13 acres,
83098,3 Beds,
83129,2 Beds,
83155,3 bd,
83181,3 Beds,
83204,3 bd,
83315,"8,250 sqft",
83359,0.64 acres,
83365,5 bd,
83403,3 bd,
83414,3 Beds,
83494,0.71 acres,
83508,0.45 acres,
83564,"3,615 sqft",
83575,5.17 acres,
83586,3 Beds,
83610,0.42 acres,
83635,"5,000 sqft",
83663,Baths,
83667,"8,947 sqft",
83690,"5,257 sqft",
83696,"6,141 sqft",
83704,3 Beds,
83755,Bath,
83757,"7,128 sqft",
83900,0.52 acres,
83945,3 bd,
83956,"8,999 sqft",
84025,5 Beds,
84069,3 Beds,
84072,0.77 acres,
84256,4 bd,
84261,"4,356 sqft",
84275,2.62 acres,
84278,2 bd,
84314,3 Beds,
84339,1.57 acres,
84397,4 Beds,
84483,-- sqft,
84484,0.6 acres,
84491,"5,898 sqft",
84525,0.8 acres,
84531,2 bd,
84568,"5,000 sqft",
84614,"5,000 sqft",
84615,Baths,
84618,1.4 acres,
84661,Baths,
84872,Baths,
84895,6 Beds,
84924,4 bd,
84940,0.45 acres,
85012,Bath,
85121,3 bd,
85129,Baths,
85181,3 bd,
85241,3 bd,
85242,6 Beds,
85253,3 Beds,
85385,3 bd,
85457,"7,535 sqft",
85470,"4,312 sqft",
85498,1,
85501,Baths,
85519,"7,300 sqft",
85521,3 Beds,
85542,4 Beds,
85653,2 Beds,
85690,Baths,
85817,Baths,
85839,"3,497 sqft",
85842,4 bd,
85862,10.7 acres,
85878,2 Beds,
85912,3 bd,
85921,3 bd,
85938,Baths,
85959,"6,237 sqft",
86046,2 bd,
86078,0.58 acres,
86104,Baths,
86155,"5,000 sqft",
86172,"7,501 sqft",
86232,3 bd,
86438,Baths,
86450,Baths,
86453,2 Beds,
86484,3 Beds,
86488,2 Beds,
86622,0.26 acres,
86642,3 bd,
86716,Baths,
86768,3 Beds,
86770,2 Beds,
86771,2,
86776,4 bd,
86791,"6,579 sqft",
86846,"7,200 sqft",
86916,"6,098 sqft",
86968,Baths,
86986,0.27 acres,
86994,7 Beds,
86996,"10,454 sqft",
86997,3 bd,
87036,3 Beds,
87071,-- bd,
87088,3 Beds,
87117,Bath,
87167,2 bd,
87179,Baths,
87222,-- bd,
87227,5,
87243,Baths,
87263,Baths,
87273,0.35 acres,
87291,0.8 acres,
87295,"7,021 sqft",
87416,Baths,
87431,3,
87471,5 Beds,
87539,5 Beds,
87576, ,
87581,6 Beds,
87652,Baths,
87655,"4,996 sqft",
87673,Baths,
87686,1.23 acres,
87732,"7,801 sqft",
87740,Baths,
87749,3 bd,
87847,4 bd,
87902,3 Beds,
87944,4 Beds,
87977,1.32 acres,
87979,Baths,
88001,4 bd,
88021,2 bd,
88023,1.24 acres,
88035,6 bd,
88068,6 Beds,
88102,"3,136 sqft",
88181,7 Beds,
88188,4 Beds,
88190,"5,000 sqft",
88201,5 Beds,
88253,-- bd,
88288,8 Beds,
88455, ,
88505,Baths,
88513,4 bd,
88561,3 bd,
88565,3 bd,
88583,2,
88613,Bath,
88616,0.28 acres,
88628,"6,599 sqft",
88676,0.27 acres,
88696,6 Beds,
88734,-- bd,
88776,0.46 acres,
88797,Baths,
88800,"5,000 sqft",
88845,1 acre,
88858,4 bd,
88871,0.69 acres,
88917,3 bd,
88967,0.42 acres,
88972,2 Beds,
89014,2 Beds,
89090,"7,440 sqft",
89103,"7,440 sqft",
89123,2 bd,
89214,31.37 acres,
89378,Baths,
89473,0.62 acres,
89483,Baths,
89660,"7,618 sqft",
89667,4 Beds,
89672,"5,000 sqft",
89676,-- sqft,
89681,Bath,
89689,Bath,
89750,0.81 acres,
89753,0.43 acres,
89799,7,
90117,2 Beds,
90143,0.95 acres,
90158,3 Beds,
90186,Baths,
90230,2 Beds,
90231,0.28 acres,
90272,Baths,
90313,3 bd,
90396,3 Beds,
90470,Baths,
90505,"10,876 sqft",
90528,0.53 acres,
90590,"5,000 sqft",
90592,0,
90599,"3,672 sqft",
90742,"7,318 sqft",
90750,3 bd,
90904,-- bd,
90920,Bath,
90989,Baths,
91021,Baths,
91034,Baths,
91061,4 Beds,
91092,Baths,
91129,3 bd,
91138,4 Beds,
91161,Baths,
91189,2 Beds,
91337,Baths,
91373,Bath,
91383,2 bd,
91428,Baths,
91441,Bath,
91457,Bath,
91657,Baths,
91658,0.48 acres,
91693,"8,700 sqft",
91747,0.36 acres,
91806,4 Beds,
91820,Baths,
92003,2,
92070,Baths,
92078,3 bd,
92083,Baths,
92094,2 bd,
92146,-- bd,
92156,4 bd,
92241,5 Beds,
92250,-- sqft,
92287,0,
92328,2 bd,
92344,3 Beds,
92352,"5,000 sqft",
92361,Baths,
92364,Bath,
92365,2 Beds,
92416,4 Beds,
92423,-- bd,
92428,3,
92496,3 bd,
92561,3,
92654,Baths,
92688,"4,965 sqft",
92751,2 Beds,
92767,Baths,
92783,"10,018 sqft",
92815,"9,234 sqft",
92857,"8,712 sqft",
92885,4 bd,
92898,0.48 acres,
92965,0.34 acres,
92990,1.03 acres,
93010,Baths,
93098,0.26 acres,
93122,0.5 acres,
93150,6,
93183,2 Beds,
93234,2 Beds,
93297,3 bd,
93359,Baths,
93374,0,
93375,0.33 acres,
93434,"9,552 sqft",
93457,Baths,
93459,Baths,
93464,2 Beds,
93467,"9,626 sqft",
93478,Bath,
93521,Bath,
93631,Baths,
93648,"5,000 sqft",
93677,"5,458 sqft",
93678,Baths,
93682,Baths,
93831,0.67 acres,
93866,Baths,
93940,64 Beds,
93946,2 bd,
93981,3 bd,
94039,0.74 acres,
94076,-- bd,
94188,16 acres,
94203,64 Beds,
94213,3 Beds,
94355,2 Beds,
94494,"8,755 sqft",
94500,-- bd,
94524,6 Beds,
94526,"10,001 sqft",
94542,-- bd,
94578,"2,678 sqft",
94584,Baths,
94690,4 bd,
94753,1.2 acres,
94773,Baths,
94807,"4,199 sqft",
94809,Baths,
94811,6 bd,
94826,3 bd,
94852,1.26 acres,
94858,"6,050 sqft",
94904,3 bd,
94916,Baths,
94967,Baths,
94970,0.29 acres,
95047,"5,000 sqft",
95057,Baths,
95061,3 bd,
95093,3 bd,
95101,4 bd,
95181,3 bd,
95272,3 Beds,
95281,2,
95300,Baths,
95341,-- bd,
95349,"10,454 sqft",
95374,4 bd,
95379,"9,713 sqft",
95385,3 Beds,
95394,4 Beds,
95413,Baths,
95445,4 Beds,
95526,10.61 acres,
95527,2 Beds,
95599,5 acres,
95668,3 Beds,
95743,4.67 acres,
95750,-- bd,
95757,"8,908 sqft",
95896,2 bd,
95908,3 bd,
95912,1,
95923,2 Beds,
95982,Baths,
95993,10 Beds,
96011,Baths,
96017,"3,497 sqft",
96104,1.52 acres,
96111,3 Beds,
96128,"6,150 sqft",
96201,Baths,
96233,"7,701 sqft",
96299,5 Beds,
96302,2,
96382,3 bd,
96390,"2,874 sqft",
96447,2,
96495,0.26 acres,
96496,"10,001 sqft",
96586,2 bd,
96602,"5,793 sqft",
96671,Baths,
96750,3,
96785,1.08 acres,
96858,2.48 acres,
96879,"3,001 sqft",
96897,4 Beds,
96905,"6,996 sqft",
96929,4,
96949,3 bd,
96987,3 bd,
97014,1.03 acres,
97041,3,
97051,3 acres,
97064,5 bd,
97089,0.73 acres,
97122,4 Beds,
97154,3 bd,
97162,64 Beds,
97176,1.63 acres,
97178,2 Beds,
97320,3 Beds,
97398,Baths,
97421,5 Beds,
97422,"7,483 sqft",
97425,3 bd,
97484,-- sqft,
97499,"5,662 sqft",
97502,2 bd,
97598,"3,001 sqft",
97709,"1,650 sqft",
97718,4 bd,
97741,"5,401 sqft",
97774,4 Beds,
97867,4 Beds,
97869,6 Beds,
97932,"7,100 sqft",
97939,2 Beds,
97990,18,
98090,Baths,
98146,2 Beds,
98154,0.39 acres,
98207,0,
98304,Baths,
98373,5.68 acres,
98377,Baths,
98429,13.3 acres,
98509,-- sqft,
98612,2 Beds,
98743,4 Beds,
98759,0.55 acres,
98764,4 Beds,
98780,4 bd,
98797,Bath,
98845,"6,534 sqft",
98872,"9,086 sqft",
98883,4 bd,
98885,"8,942 sqft",
98909,"5,148 sqft",
98928,Baths,
98973,7 Beds,
99014,-- bd,
99037,Baths,
99042,Baths,
99115,2 Beds,
99304,5,
99337,Bath,
99383,3 bd,
99389,0.43 acres,
99392,2 Beds,
99407,Baths,
99444,2,
99483,-- bd,
99514,Baths,
99518,Baths,
99525,4 Beds,
99545,4 Beds,
99546,3 Beds,
99612,Baths,
99624,"7,000 sqft",
99656,4 bd,
99658,3 Beds,
99684, ,
99731,"3,580 sqft",
99791,-- bd,
99800,2 Beds,
99802,-- bd,
99861,3 bd,
99876,3 bd,
99911,4 Beds,
99999,1 acre,
100015,Baths,
100091,"5,501 sqft",
100137,Baths,
100189,Baths,
100206,6 acres,
100215,"5,000 sqft",
100290,Baths,
100315,"5,000 sqft",
100381,0.29 acres,
100446,2,
100460,Baths,
100520,4 bd,
100530,1.11 acres,
100540,Baths,
100558,"5,336 sqft",
100565,0.28 acres,
100687,3 bd,
100689,2 bd,
100722,5 Beds,
100733,3 bd,
100771,2 bd,
100836,3 bd,
100943,"6,098 sqft",
100944,2 bd,
100992,3 Beds,
101002,-- bd,
101021,3 bd,
101029,2 bd,
101038,Baths,
101054,4 Beds,
101092,10 acres,
101117,"6,299 sqft",
101128,Baths,
101230,1,
101299,0.34 acres,
101370,Baths,
101372,831 sqft,
101380,0.73 acres,
101398,4,
101402,5,
101600,Baths,
101606,"8,001 sqft",
101665,3 bd,
101726,-- bd,
101729,4 bd,
101737,4 bd,
101743,0.27 acres,
101777,Baths,
101791,Baths,
101946,3 bd,
102017,Baths,
102026,Bath,
102035,6 Beds,
102129,3 Beds,
102165,3 bd,
102170,Baths,
102222,2 Beds,
102265,"6,250 sqft",
102335,15.41 acres,
102336,0.92 acres,
102365,2 Beds,
102373,5 bd,
102389,2 bd,
102404,0.34 acres,
102450,1.11 acres,
102523,Baths,
102536,Baths,
102580,Baths,
102672,4 bd,
102752,3 Beds,
102826,2.01 acres,
102847,-- bd,
102860,Baths,
102875,2.31 acres,
102928,-- bd,
102972,Baths,
103003,-- bd,
103024,Baths,
103122,0.71 acres,
103129,"6,272 sqft",
103177,8 Beds,
103260,Baths,
103261,3 Beds,
103275,Baths,
103289,2.62 acres,
103429,2 Beds,
103495,"5,998 sqft",
103542,3 Beds,
103621,1.03 acres,
103625,"2,874 sqft",
103626,1.22 acres,
103642,5 Beds,
103654,Baths,
103677,2 bd,
103821,0.4 acres,
103852,0.63 acres,
103853,"10,315 sqft",
103868,"10,001 sqft",
103939,5 bd,
103986,64 Beds,
104102,2 Beds,
104120,Baths,
104133,"8,102 sqft",
104181,Bath,
104214,2 Beds,
104218,Baths,
104221,Baths,
104437,0.83 acres,
104503,Baths,
104603,0.26 acres,
104629,3,
104785,"9,252 sqft",
104835,Bath,
104836,Bath,
104884,Bath,
104901,0.38 acres,
104965,0.4 acres,
104977,4 Beds,
105025,2 Beds,
105108,"7,313 sqft",
105146,3 Beds,
105186,0.54 acres,
105288,-- bd,
105309,1 acre,
105310,3 Beds,
105316,2 bd,
105322,3 bd,
105325,0.78 acres,
105326,4,
105347,Bath,
105561,3 Beds,
105589,Baths,
105679,4 Beds,
105726,0.58 acres,
105728,"5,719 sqft",
105744,2,
105862,"7,692 sqft",
105895,-- bd,
105933,1 acre,
105962,4 Beds,
105967,Bath,
106000,3 bd,
106087,4 Beds,
106141,-- bd,
106189,10.4 acres,
106211,Bath,
106230,64 Beds,
106259,"8,145 sqft",
106264,2 Beds,
106280,3 bd,
106298,Baths,
106316,0.41 acres,
106347,Bath,
106356,4,
106369,2 bd,
106435,0.4 acres,
106488,0.71 acres,
106525,0,
106572,2 Beds,
106594,10 Beds,
106664,3 bd,
106678,2 Beds,
106726,0.86 acres,
106733,5 Beds,
106764,2 Beds,
106769,Baths,
106788,5 bd,
106830,248 sqft,
106849,4 bd,
106862,1.93 acres,
107016,"3,001 sqft",
107076,Bath,
107078,4 Beds,
107084,Baths,
107132,2 bd,
107158,8 bd,
107169, ,
107217,4 Beds,
107222,"6,899 sqft",
107253,4,
107301,6 Beds,
107337,3 bd,
107375,3 bd,
107417,"7,318 sqft",
107434,3 bd,
107496,18.51 acres,
107512,"6,098 sqft",
107520,"5,702 sqft",
107562,3 bd,
107610,4 bd,
107671,"3,375 sqft",
107687,4 Beds,
107694,Baths,
107701,-- sqft,
107735,2 Beds,
107736,0.39 acres,
107763,3.7 acres,
107794,"5,000 sqft",
107848,0.45 acres,
107860,0.34 acres,
107862,1.45 acres,
107897,Baths,
107908,0,
107935,4 bd,
108038,1 bd,
108089,3 Beds,
108177,11 Beds,
108193,Baths,
108199,4 bd,
108224,-- sqft,
108253,Baths,
108290,4 bd,
108303,4 bd,
108356,3 Beds,
108476,Baths,
108498,Baths,
108545,0.99 acres,
108563,2 bd,
108575,2 Beds,
108587,1.2 acres,
108642,4 Beds,
108646,"4,965 sqft",
108649,3 bd,
108712,1,
108726,Bath,
108743,3 bd,
108757,Baths,
108772,3 bd,
108773,"8,276 sqft",
108836,-- bd,
108874,3,
108902,Baths,
108917,0.65 acres,
108966,9 bd,
109001,Baths,
109056,0.62 acres,
109069,2 bd,
109077,2 Beds,
109100,12 Beds,
109120,Baths,
109135,"4,499 sqft",
109143,Baths,
109185,5 bd,
109215,"10,528 sqft",
109294,"10,497 sqft",
109303,"7,500 sqft",
109372,"4,800 sqft",
109417,2.6 acres,
109461,1,
109473,Baths,
109479,1,
109498,4 Beds,
109534,"9,517 sqft",
109547,14 acres,
109631,3 Beds,
109656,Baths,
109715,12 Beds,
109795,Baths,
109818,4 Beds,
109884,0.69 acres,
109937,2 Beds,
110083,0.81 acres,
110130,64 Beds,
110132,6 Beds,
110134,4 bd,
110157,0.45 acres,
110251,5 Beds,
110357,0,
110374,Baths,
110495,2 Beds,
110509,Bath,
110557,Baths,
110592,0.35 acres,
110643,Baths,
110648,-- bd,
110656,3 Beds,
110702,Baths,
110727,3 Beds,
110783,3,
110876,0.25 acres,
110888,2,
110938,1 acre,
110954,3 Beds,
110962,1.96 acres,
110972,4.81 acres,
110997,3,
111017,"8,502 sqft",
111081,"3,484 sqft",
111311,Baths,
111364,3 Beds,
111419,4 Beds,
111455,5 Beds,
111464,5 bd,
111520,3,
111562,-- bd,
111569,10 Beds,
111573,"4,251 sqft",
111580,Baths,
111622,3 bd,
111646,2 Beds,
111737,5,
111795,4 bd,
111802,"7,143 sqft",
111913,1,
111991,0.29 acres,
112069,0.28 acres,
112146,0.37 acres,
112174,0.91 acres,
112181,Baths,
112208,0.47 acres,
112223,Baths,
112325,3 Beds,
112388,Baths,
112398,3 bd,
112399,"2,874 sqft",
112455,"3,175 sqft",
112476,2 bd,
112513,Baths,
112518,2.57 acres,
112596,Baths,
112607,Baths,
112642,2 Beds,
112657,2 Beds,
112663,3 bd,
112671,4 Beds,
112675,Baths,
112774,2 Beds,
112804,0.25 acres,
112856,Baths,
112975,3.4 acres,
113048,Bath,
113074,0.37 acres,
113126,Baths,
113138,-- bd,
113168,4,
