,beds,sqft
13748,Baths,
13806,Baths,
13811,3 bd,
13842,Baths,
13894,0.26 acres,
13990,Baths,
14010,"6,141 sqft",
14041,3 bd,
14098,9.12 acres,
14158,3 bd,
14178,3,
14215,2 Beds,
14283,1 bd,
14361,2,
14426,Bath,
14433,Bath,
14512,"9,369 sqft",
14538,4.84 acres,
14555,"6,529 sqft",
14652,-- bd,
14661,0.3 acres,
14720,"4,996 sqft",
14852,2 Beds,
14902, ,
14927,3 Beds,
14954,"4,861 sqft",
15091,3 Beds,
15199,0.46 acres,
15234,3 bd,
15282,5 acres,
15412,0.28 acres,
15459,"9,517 sqft",
15617,Baths,
15668,2 bd,
15682,Baths,
15738,3,
15766,3 Beds,
15800, ,
15811,2 Beds,
15836,3,
15838,0.51 acres,
15867,0,
16006,Baths,
16011,3.07 acres,
16048,0.3 acres,
16053,1.27 acres,
16129,2,
16203,4 bd,
16368,0.72 acres,
16460,"6,751 sqft",
16495,Baths,
16521,2,
16547,1.24 acres,
16619,Baths,
16658,4 Beds,
16677,2 Beds,
16692,0.29 acres,
16778,"8,712 sqft",
16787,Baths,
16813,5 bd,
16873,1.08 acres,
16902,-- bd,
16929,2 Beds,
17020,Baths,
17029,5 Beds,
17093,0.28 acres,
17119,"6,111 sqft",
17124,2 bd,
17133,"10,062 sqft",
17160,Baths,
17166,Baths,
17220,1.8 acres,
17229,Baths,
17319,"5,148 sqft",
17342,-- bd,
17349,0.34 acres,
17446,5 Beds,
17453, ,
17560,2 Beds,
17695,0.52 acres,
17733,0.29 acres,
17758,Baths,
17780,"6,098 sqft",
17829,"6,899 sqft",
17833,Baths,
17857,5 bd,
17870,1.8 acres,
17908,2 Beds,
17912,2 Beds,
17921,Baths,
17927,2 Beds,
18013,4 Beds,
18094,Baths,
18119,16 Beds,
18133,Bath,
18176,Baths,
18215,3 Beds,
18264,Baths,
18292,1,
18308,4 bd,
18314,0.52 acres,
18340,2 Beds,
18355,1.3 acres,
18366,-- bd,
18405,"2,265 sqft",
18427,0.79 acres,
18480,"2,500 sqft",
18595,3 Beds,
18616,Baths,
18626,0.33 acres,
18775,3 Beds,
18831,3 Beds,
18837,-- sqft,
18877,Baths,
18934,2 Beds,
18936,5 bd,
18942,Baths,
19037,3 Beds,
19053,6 Beds,
19064,2 Beds,
19083,3 bd,
19086,6 bd,
19119,4 bd,
19145,0.5 acres,
19185,"6,250 sqft",
19277,Baths,
19333,Baths,
19342,0.9 acres,
19357,3,
19365,4 Beds,
19423,0.55 acres,
19445,3 Beds,
19453,-- sqft,
19486,1,
19526,"5,924 sqft",
19605,"10,511 sqft",
19658,9.34 acres,
19671,-- bd,
19741,1 bd,
19825,1.21 acres,
19841,Baths,
19890,Bath,
19907,Bath,
20037,Baths,
20038,"10,528 sqft",
20124,Baths,
20166,2 bd,
20243,Baths,
20372,"6,708 sqft",
20379,3 Beds,
20397,3 Beds,
20425,6 Beds,
20527,3 Beds,
20528,2 Beds,
20614,Baths,
20654,2 Beds,
20684,4 Beds,
20791,-- bd,
20794,2.93 acres,
20795,4 Beds,
20818,4 Beds,
20819,2 Beds,
20835,2,
20836,3 bd,
20872,4.67 acres,
20896,Baths,
20897,4 bd,
20942,-- bd,
20958, ,
20972,8 Beds,
20973,2 Beds,
21006,3 bd,
21023,2 Beds,
21069,3 bd,
21129,Baths,
21211,5 bd,
21241,3 Beds,
21245,"10,497 sqft",
21259,2 bd,
21280,Baths,
21285,1.09 acres,
21289,0.54 acres,
21349,Baths,
21394,1.27 acres,
21400,3 Beds,
21433,Bath,
21451,"5,906 sqft",
21457,2 bd,
21491,2 Beds,
21553,Baths,
21633,0.57 acres,
21652,3 bd,
21685,Baths,
21694,Baths,
